Name,Governance Type,Governing Body,Governing Body Members,Role,Annual Compensation,Elected or Appointed,Years in Office
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Leonard Polan,Vice President,No Data,Elected,19
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Jay Lewitt,President,No Data,Elected,19
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Charles Caspary,Secretary,No Data,No Data,19
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Lee Renger,Director,No Data,No Data,19
LAS VIRGENES MUNICIPAL WATER DISTRICT,Special District,Board of Directors,Glen Peterson,MWD Representative,No Data,No Data,32
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Arun Baskota,Director,No Data,Appointed,0
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,D. Randy Laney,Director,No Data,Appointed,3
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Dilek L. Samil,"Chair, Compensation Committee",No Data,Appointed,6
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Christopher Jarratt,Director,No Data,Appointed,11
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Christopher J. Ball,"Chair, Audit Committee",No Data,Appointed,18
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Kenneth Moore,"Chair of the Board
",No Data,Appointed,22
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,George L. Steeves,"Chair, Corporate Governance Committee",No Data,Appointed,23
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Masheed H. Saidi,"Chair, Risk Committee",No Data,Appointed,No Data
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Melissa Stapleton Barnes,Director,No Data,Appointed,No Data
LIBERTY UTILITIES Bellflower/Norwalk,IOU,Board of Directors,Christopher Huskilson,Director,No Data,Appointed,No Data
LIBERTY UTILITIES Compton,IOU,Board of Directors,Arun Baskota,Director,No Data,Appointed,0
LIBERTY UTILITIES Compton,IOU,Board of Directors,D. Randy Laney,Director,No Data,Appointed,3
LIBERTY UTILITIES Compton,IOU,Board of Directors,Dilek L. Samil,"Chair, Compensation Committee",No Data,Appointed,6
LIBERTY UTILITIES Compton,IOU,Board of Directors,Christopher Jarratt,Director,No Data,Appointed,11
LIBERTY UTILITIES Compton,IOU,Board of Directors,Christopher J. Ball,"Chair, Audit Committee",No Data,Appointed,18
LIBERTY UTILITIES Compton,IOU,Board of Directors,Kenneth Moore,"Chair of the Board
",No Data,Appointed,22
LIBERTY UTILITIES Compton,IOU,Board of Directors,George L. Steeves,"Chair, Corporate Governance Committee",No Data,Appointed,23
LIBERTY UTILITIES Compton,IOU,Board of Directors,Masheed H. Saidi,"Chair, Risk Committee",No Data,Appointed,No Data
LIBERTY UTILITIES Compton,IOU,Board of Directors,Melissa Stapleton Barnes,Director,No Data,Appointed,No Data
LIBERTY UTILITIES Compton,IOU,Board of Directors,Christopher Huskilson,Director,No Data,Appointed,No Data
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Arun Baskota,Director,No Data,Appointed,0
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,D. Randy Laney,Director,No Data,Appointed,3
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Dilek L. Samil,"Chair, Compensation Committee",No Data,Appointed,6
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Christopher Jarratt,Director,No Data,Appointed,11
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Christopher J. Ball,"Chair, Audit Committee",No Data,Appointed,18
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Kenneth Moore,"Chair of the Board
",No Data,Appointed,22
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,George L. Steeves,"Chair, Corporate Governance Committee",No Data,Appointed,23
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Masheed H. Saidi,"Chair, Risk Committee",No Data,Appointed,No Data
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Melissa Stapleton Barnes,Director,No Data,Appointed,No Data
LIBERTY UTILITIES Lynwood,IOU,Board of Directors,Christopher Huskilson,Director,No Data,Appointed,No Data
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Diego Fernandez,Assistant Secretary,"$9,600",No Data,6
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Lawrence Duncan,1st Vice President,"$12,500",No Data,17
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,John Clairday,President,"$23,868",No Data,27
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Robert Gomperz,Vice President,"$9,700",No Data,30
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,Ann Dougherty,Treasurer,"$9,600",No Data,No Data
LINCOLN AVENUE WATER COMPANY,Mutual Water Company,Board of Directors/Officers,J Betancourt,Secretary,$0,No Data,No Data
LITTLEROCK CREEK IRRIGATION DIST.,Irrigation District,Board of Directors,Barbara Hogan,President,"$1,100",No Data,No Data
LITTLEROCK CREEK IRRIGATION DIST.,Irrigation District,Board of Directors,Tim Clark,Vice President,"$1,100",No Data,No Data
LITTLEROCK CREEK IRRIGATION DIST.,Irrigation District,Board of Directors,Leo Thibault,Treasurer,"$1,100",No Data,No Data
LITTLEROCK CREEK IRRIGATION DIST.,Irrigation District,Board of Directors,Jon Tenerelli,Secretary,"$1,100",No Data,No Data
LITTLEROCK CREEK IRRIGATION DIST.,Irrigation District,Board of Directors,Lynn Burns,Director,"$1,100",No Data,No Data
LLANO MUTUAL WATER COMPANY,Mutual Water Company,Officers,James Lombardi,President,$0,No Data,No Data
LLANO MUTUAL WATER COMPANY,Mutual Water Company,Officers,John Blalock,Secretary/ Treasurer,$0,No Data,No Data
"LOMITA-CITY, WATER DEPT.",City/ Municipal,City Council,James Gazeley,Mayor,"$4,680",Elected,No Data
"LOMITA-CITY, WATER DEPT.",City/ Municipal,City Council,Mark Waroneck,Mayor Pro-Tem,"$4,680",Elected,No Data
"LOMITA-CITY, WATER DEPT.",City/ Municipal,City Council,Henry Sanchez Jr.,Council Member,"$4,680",Elected,No Data
"LOMITA-CITY, WATER DEPT.",City/ Municipal,City Council,Michael Savidan,Council Member,"$4,680",Elected,No Data
"LOMITA-CITY, WATER DEPT.",City/ Municipal,City Council,Cindy Segawa,Council Member,"$4,680",Elected,No Data
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Mary Zendejas,Council Member,"$39,288",Elected,1
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Robert Garcia,Mayor,"$157,140",Elected,2
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Rex Richardson,Council Member,"$39,288",Elected,4
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Suzie Price,Council Member,"$39,288",Elected,6
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Stacy Mungo,Council Member,"$39,288",Elected,6
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Al Austin,Council Member,"$39,288",Elected,8
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Jeannine Pearce,Council Member,"$39,288",Elected,No Data
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Daryl Supernaw,Council Member,"$39,288",Elected,No Data
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Dee Andrews,Vice Mayor,"$39,288",Elected,No Data
"LONG BEACH-CITY, WATER DEPT.",City/ Municipal,City Council,Robert Uranga,Council Member,"$39,288",Elected,No Data
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,John Lee,Council Member,"$210,856",Elected,1
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Monica Roderiguez,Council Member,"$204,668",Elected,3
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,David Ryu,Council Member,"$202,774",Elected,5
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Eric Garcetti,Mayor,"$277,848",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Gil Cedillo,Council Member,"$206,011",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Nury Martinez,Council Member,"$206,011",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,"Curren Price, Jr.",Council Member,"$206,011",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Mike Bonin,Council Member,"$206,747",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Mitch O'Farrell,Council Member,"$206,044",Elected,7
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Joe Buscaino,Council Member,"$209,008",Elected,8
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Paul Krekorian,Council Member,"$213,412",Elected,10
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Bob Blumenfeld,Council Member,"$206,011",Elected,10
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Kevin de Leon,Council Member,"$216,397",Elected,10
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Paul Koretz,Council Member,"$216,384",Elected,11
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,"Herb Wesson, Jr.",Council Member,"$217,149",Elected,15
"LOS ANGELES-CITY, DEPT. OF WATER & POWER",City/ Municipal,City Council,Marqueece Harris-Dawson,Council Member,"$205,883",Elected,No Data
LYNWOOD PARK MUTUAL WATER COMPANY,Mutual Water Company,N/A,N/A,N/A,No Data,No Data,No Data
"Lynwood, City of",City/ Municipal,City Council,Jose Luis Solache,Council Member,"$11,700",Elected,7
"Lynwood, City of",City/ Municipal,City Council,Salvadore Alatorre,Council Member,"$11,700",Elected,9
"Lynwood, City of",City/ Municipal,City Council,Aide Castro,Mayor,"$11,700",Elected,13
"Lynwood, City of",City/ Municipal,City Council,Jorge Casanova,Mayor Pro-Tem,"$11,700",No Data,No Data
"Lynwood, City of",City/ Municipal,City Council,Marisela Santana,Council Member,"$11,700",No Data,No Data
"MANHATTAN BEACH-CITY, WATER DEPT",City/ Municipal,City Council,Richard Montgomery,Mayor,$500,Elected,No Data
"MANHATTAN BEACH-CITY, WATER DEPT",City/ Municipal,City Council,Suzanne Hadley,Mayor Pro Tem,$500,Elected,No Data
"MANHATTAN BEACH-CITY, WATER DEPT",City/ Municipal,City Council,Hildy Stern,Councilmember,$500,Elected,No Data
"MANHATTAN BEACH-CITY, WATER DEPT",City/ Municipal,City Council,Steve Napolitano,Councilmember,$500,Elected,No Data
"MANHATTAN BEACH-CITY, WATER DEPT",City/ Municipal,City Council,Nancy Hersman,Councilmember,$500,Elected,No Data
Maywood Mutual Water Company No. 1,Mutual Water Company,Board of Directors,Sergio Palos,President/ General Manager,"$21,000",No Data,No Data
Maywood Mutual Water Company No. 1,Mutual Water Company,Board of Directors,Orley White,Board Member,"$18,100",No Data,No Data
Maywood Mutual Water Company No. 1,Mutual Water Company,Board of Directors,Donald Jervis,Treasurer,"$19,300",No Data,No Data
Maywood Mutual Water Company No. 1,Mutual Water Company,Board of Directors,William Sanchez,Board Member,"$15,500",No Data,No Data
Maywood Mutual Water Company No. 1,Mutual Water Company,Board of Directors,JC Bono,Secretary,"$19,300",No Data,No Data
Maywood Mutual Water Company No. 2,Mutual Water Company,Board of Directors/ Officers,Guillermo Merin,Director,"$10,200",No Data,No Data
Maywood Mutual Water Company No. 2,Mutual Water Company,Board of Directors/ Officers,Maria Pulido,VP / Director,"$10,200",No Data,No Data
Maywood Mutual Water Company No. 2,Mutual Water Company,Board of Directors/ Officers,Ramon Payan,Secretary/ Director,"$10,150",No Data,No Data
Maywood Mutual Water Company No. 2,Mutual Water Company,Board of Directors/ Officers,Salvador Martin,President/ Director,"$10,200",No Data,No Data
Maywood Mutual Water Company No. 2,Mutual Water Company,Board of Directors/ Officers,Modesta Gaxiola,Treasurer/ Director,"$10,200",No Data,No Data
Maywood Mutual Water Company No. 3,Mutual Water Company,Board of Directors,Rebecca Headley,Board Member,"$64,616",No Data,No Data
Maywood Mutual Water Company No. 3,Mutual Water Company,Board of Directors,Alicia Cuevas,Board Member,"$21,452",No Data,No Data
Maywood Mutual Water Company No. 3,Mutual Water Company,Board of Directors,Robert Rohlf,President,"$96,152",No Data,No Data
Maywood Mutual Water Company No. 3,Mutual Water Company,Board of Directors,Jerry Lambert,Secretary,"$23,796",No Data,No Data
Maywood Mutual Water Company No. 3,Mutual Water Company,Board of Directors,Rafiq Shah,Board Member,"$13,109",No Data,No Data
Metropolitan Water District,Wholesaler,Board of Directors,Heather Repenning,Vice Chair,No Data,Appointed,0
Metropolitan Water District,Wholesaler,Board of Directors,Ardy Kassakhian,Board Member,No Data,Appointed,0
Metropolitan Water District,Wholesaler,Board of Directors, Satoru Tamaribuchi,Board Member,No Data,Appointed,0
Metropolitan Water District,Wholesaler,Board of Directors,Sylvia Ballin,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,S. Gail Goldberg,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,Tana McCoy,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,Adan Ortega,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,Tracy M. Quinn,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,Jose Solorio,Board Member,No Data,Appointed,1
Metropolitan Water District,Wholesaler,Board of Directors,Jerry Butkiewicz,Vice Chair,No Data,Appointed,2
Metropolitan Water District,Wholesaler,Board of Directors,Tim Smith,Board Member,No Data,Appointed,2
Metropolitan Water District,Wholesaler,Board of Directors,Harold Williams,Board Member,No Data,Appointed,2
Metropolitan Water District,Wholesaler,Board of Directors,Barry D. Pressman,Board Member,No Data,Appointed,3
Metropolitan Water District,Wholesaler,Board of Directors,Gloria Cordero,Board Member,No Data,Appointed,4
Metropolitan Water District,Wholesaler,Board of Directors,Charles Trevino,Board Member,No Data,Appointed,5
Metropolitan Water District,Wholesaler,Board of Directors,Stephen J. Faessel,Board Member,No Data,Appointed,5
Metropolitan Water District,Wholesaler,Board of Directors,Donald Galleano,Board Member,No Data,Appointed,5
Metropolitan Water District,Wholesaler,Board of Directors,Marsha Ramos,Board Member,No Data,Appointed,5
Metropolitan Water District,Wholesaler,Board of Directors,Richard Atwater,Board Member,No Data,Appointed,6
Metropolitan Water District,Wholesaler,Board of Directors,Steve Blois,Board Member,No Data,Appointed,6
Metropolitan Water District,Wholesaler,Board of Directors,Larry McKenney,Board Member,No Data,Appointed,6
Metropolitan Water District,Wholesaler,Board of Directors,Cynthia Kurtz,Vice Chair,No Data,Appointed,7
Metropolitan Water District,Wholesaler,Board of Directors,Phillip Hawkins,Board Member,No Data,Appointed,7
Metropolitan Water District,Wholesaler,Board of Directors,Michael T. Hogan,Board Member,No Data,Appointed,7
Metropolitan Water District,Wholesaler,Board of Directors,Russel Lefevre,Board Member,No Data,Appointed,7
Metropolitan Water District,Wholesaler,Board of Directors,Michael Camacho,Board Member,No Data,Appointed,8
Metropolitan Water District,Wholesaler,Board of Directors,Gloria D. Gray,Chairwoman,No Data,Appointed,11
Metropolitan Water District,Wholesaler,Board of Directors,Robert O. Apodaca,Board Member,No Data,Appointed,11
Metropolitan Water District,Wholesaler,Board of Directors,Linda Ackerman,Board Member,No Data,Appointed,12
Metropolitan Water District,Wholesaler,Board of Directors,John W. Murray Jr.,Board Member,No Data,Appointed,14
Metropolitan Water District,Wholesaler,Board of Directors, Jesus E. Quinones,Board Member,No Data,Appointed,14
Metropolitan Water District,Wholesaler,Board of Directors,Larry D. Dick,Board Member,No Data,Appointed,17
Metropolitan Water District,Wholesaler,Board of Directors,Randy A. Record,Board Member,No Data,Appointed,17
Metropolitan Water District,Wholesaler,Board of Directors,David D. De Jesus,Board Member,No Data,Appointed,18
Metropolitan Water District,Wholesaler,Board of Directors,Judy Abdo,Secretary,No Data,Appointed,24
Metropolitan Water District,Wholesaler,Board of Directors,Glen Peterson,Board Member,No Data,Appointed,27
Metropolitan Water District,Wholesaler,Board of Directors,John T. Morris,Board Member,No Data,Appointed,30
Metropolitan Water District,Wholesaler,Board of Directors,Vacant,Board Member,No Data,Appointed,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Sandee Miloszar,N/A,No Data,No Data,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Paul Mendoza,N/A,No Data,No Data,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Wade Shorrock,N/A,No Data,No Data,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Rick Horton,N/A,No Data,No Data,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Debbie Farrow,N/A,No Data,No Data,No Data
METTLER VALLEY MUTUAL,Mutual Water Company,Board of Directors,Ramah Lee Stewart,N/A,No Data,No Data,No Data
"MONROVIA-CITY, WATER DEPT",City/ Municipal,City Council,Gloria Crudgington,Councilmember,"$4,800",Elected,5
"MONROVIA-CITY, WATER DEPT",City/ Municipal,City Council,Alexander Blackburn,Mayor Pro Tem,"$4,800",Elected,7
"MONROVIA-CITY, WATER DEPT",City/ Municipal,City Council,Larry Spicerÿ,Councilmember,"$4,800",Elected,7
"MONROVIA-CITY, WATER DEPT",City/ Municipal,City Council,Becky Shevlin,Councilmember,"$4,800",Elected,11
"MONROVIA-CITY, WATER DEPT",City/ Municipal,City Council,Tom Adams,Mayor,"$4,800",Elected,26
MONTEBELLO LAND & WATER CO.,Mutual Water Company,N/A,N/A,N/A,N/A,No Data,No Data
"MONTEBELLO-CITY, WATER DEPT.",City/ Municipal,City Council,Salvadore Melendez,Mayor,"$12,384",Elected,No Data
"MONTEBELLO-CITY, WATER DEPT.",City/ Municipal,City Council,Kimberly Ann Cobos Cawthorne,Mayor Pro Tem,"$12,384",Elected,No Data
"MONTEBELLO-CITY, WATER DEPT.",City/ Municipal,City Council,Angie M. Jimenez,Council Member,"$12,384",Elected,No Data
"MONTEBELLO-CITY, WATER DEPT.",City/ Municipal,City Council,David N. Torres,Council Member,"$12,384",Elected,No Data
"MONTEBELLO-CITY, WATER DEPT.",City/ Municipal,City Council,Jack Hadjinian,Council Member,"$12,384",Elected,No Data
"MONTEREY PARK-CITY, WATER DEPT",City/ Municipal,City Council,Yvonne Yiu,Mayor Pro Tem,"$6,000",Elected,0
"MONTEREY PARK-CITY, WATER DEPT",City/ Municipal,City Council,Henry Lo,Council Member,"$6,000",Elected,0
"MONTEREY PARK-CITY, WATER DEPT",City/ Municipal,City Council,Fred Sornoso,Council Member,"$6,000",Elected,0
"MONTEREY PARK-CITY, WATER DEPT",City/ Municipal,City Council,Pater Chan,Mayor,"$8,400",Elected,7
"MONTEREY PARK-CITY, WATER DEPT",City/ Municipal,City Council,Hans Liang,Council Member,"$6,000",Elected,7
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Kemp Fairbanks,President,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Susan Renee Carl,Treasurer,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Sherry Steel,Secretary,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Jeff Smith,Board Member,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Fred Gonzalez,Board Member,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Bill James,Board Member,$0.00,No Data,No Data
NORTH TRAILS MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,N/A,Board Member,$0.00,No Data,No Data
"NORWALK - CITY, WATER DEPT",City/ Municipal,City Council,Margarita L. Rios,Council Member,No Data,No Data,3
"NORWALK - CITY, WATER DEPT",City/ Municipal,City Council,Rick Ramirez,Council Member,No Data,No Data,17
"NORWALK - CITY, WATER DEPT",City/ Municipal,City Council,Jennifer Perez,Mayor,No Data,No Data,No Data
"NORWALK - CITY, WATER DEPT",City/ Municipal,City Council,Tony Ayala,Vice Mayor,No Data,No Data,No Data
"NORWALK - CITY, WATER DEPT",City/ Municipal,City Council,Ana Valencia,Council Member,No Data,No Data,No Data
ORCHARD DALE WATER DISTRICT,Special District,Board of Directors,Joseph Velasco III,Vice President,"$18,486",No Data,12
ORCHARD DALE WATER DISTRICT,Special District,Board of Directors,Robert Noonan,Director,"$18,486",No Data,14
ORCHARD DALE WATER DISTRICT,Special District,Board of Directors,Dennis Acevedo,President,"$18,486",No Data,No Data
ORCHARD DALE WATER DISTRICT,Special District,Board of Directors,Yvette Stevenson-Roderiguez,Director,"$18,486",No Data,No Data
ORCHARD DALE WATER DISTRICT,Special District,Board of Directors,Denise Dolor,Director,"$18,486",No Data,No Data
PALM RANCH IRRIGATION DISTRICT,Irrigation District,Board of Directors,Brett Valasek,President,"$2,120",No Data,No Data
PALM RANCH IRRIGATION DISTRICT,Irrigation District,Board of Directors,Brian Skelton,Vice President,"$2,120",No Data,No Data
PALM RANCH IRRIGATION DISTRICT,Irrigation District,Board of Directors,Don Berry,Secretary,"$2,120",No Data,No Data
PALM RANCH IRRIGATION DISTRICT,Irrigation District,Board of Directors,Jess Baker,Treasurer,"$2,120",No Data,No Data
PALM RANCH IRRIGATION DISTRICT,Irrigation District,Board of Directors,Sal Spalla,Director,"$2,120",No Data,No Data
PALMDALE WATER DISTRICT,Special District,Board of Directors,Don Wilson,Secretary,"$12,000",No Data,2
PALMDALE WATER DISTRICT,Special District,Board of Directors,Gloria Dizmang,Treasurer,"$6,150",No Data,5
PALMDALE WATER DISTRICT,Special District,Board of Directors,Vincent Dino,President,"$16,950",No Data,7
PALMDALE WATER DISTRICT,Special District,Board of Directors,Robert Alvarado,Assistant Secretary,"$9,150",No Data,9
PALMDALE WATER DISTRICT,Special District,Board of Directors,Kathy Mac Laren,Vice President,"$13,200",No Data,9
"PARAMOUNT - CITY, WATER DEPT",City/ Municipal,City Council,Isabel Aguayo,Council Member,"$12,736",No Data,0
"PARAMOUNT - CITY, WATER DEPT",City/ Municipal,City Council,Vilma Cuellar Stallings,Council Member,"$12,736",No Data,0
"PARAMOUNT - CITY, WATER DEPT",City/ Municipal,City Council,Brenda Olmos,Vice Mayor,"$12,736",No Data,1
"PARAMOUNT - CITY, WATER DEPT",City/ Municipal,City Council,Laurie Guillen,Council Member,"$12,736",No Data,3
"PARAMOUNT - CITY, WATER DEPT",City/ Municipal,City Council,Peggy Lemons,Mayor,"$12,736",No Data,23
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Tyron Hampton,Vice Mayor,"$19,713",No Data,5
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,John Kennedy,Councilmember,"$19,713",No Data,7
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Gene Masuda,Councilmember,"$19,713",No Data,9
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Terry Tornek,Mayor,"$19,713",No Data,11
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Margaret McAustin,Councilmember,"$19,713",No Data,13
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Victor Gordo,Councilmember,"$19,713",No Data,19
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Steve Madison,Councilmember,"$19,713",No Data,21
"PASADENA-CITY, WATER DEPT",City/ Municipal,City Council,Andy Wilson,Councilmember,"$19,713",No Data,No Data
"PICO RIVERA - CITY, WATER DEPT",City/ Municipal,City Council,Dr. Monica Sanchez,Council Member,"$9,866",No Data,1
"PICO RIVERA - CITY, WATER DEPT",City/ Municipal,City Council,Raul Elias,Mayor Pro Tem,"$9,866",No Data,2
"PICO RIVERA - CITY, WATER DEPT",City/ Municipal,City Council,Brent Tercero,Council Member,"$9,866",No Data,9
"PICO RIVERA - CITY, WATER DEPT",City/ Municipal,City Council,Gustavo Camacho,Mayor,"$9,866",No Data,11
"PICO RIVERA - CITY, WATER DEPT",City/ Municipal,City Council,Gregory Salcido,Council Member,"$9,866",No Data,21
PICO WATER DISTRICT,Special District,Board of Directors,Andrew Lara,Vice President,"$7,860",No Data,2
PICO WATER DISTRICT,Special District,Board of Directors,Victor Caballero,Director,"$7,860",No Data,2
PICO WATER DISTRICT,Special District,Board of Directors,Robert A. Martinez,Director,"$7,860",No Data,2
PICO WATER DISTRICT,Special District,Board of Directors,David Gonzalez,President,"$7,860",No Data,4
PICO WATER DISTRICT,Special District,Board of Directors,Barbara Conteras Rapisarda,Director,"$7,860",No Data,4
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Tim Sandoval,Mayor,"$19,656",No Data,4
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Rubio Gonzalez,Councilmember,"$9,828",No Data,4
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Robert Torres,Councilmember,"$9,828",No Data,4
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Victor Preciado,Councilmember,"$9,828",No Data,No Data
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Nora Garcia,Councilmember,"$9,828",No Data,No Data
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Elizabeth Ontiveros-Cole,Councilmember,"$9,828",No Data,No Data
"POMONA - CITY, WATER DEPT",City/ Municipal,City Council,Steve Lustro,Councilmember,"$9,828",No Data,No Data
QUARTZ HILL WATER DISTRICT,Special District,Board of Directors,K. Michael Scott,Director,$900,No Data,5
QUARTZ HILL WATER DISTRICT,Special District,Board of Directors,Sheldon Carter,Director,$900,No Data,14
QUARTZ HILL WATER DISTRICT,Special District,Board of Directors,Allen Flick,Senior President,"$1,200",No Data,15
QUARTZ HILL WATER DISTRICT,Special District,Board of Directors,Peggy Powell,Director,"$1,000",No Data,15
QUARTZ HILL WATER DISTRICT,Special District,Board of Directors,James Powell,Vice President,$900,No Data,No Data
REESEDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Rulon Parker,President,$0,No Data,No Data
REESEDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Marjorie Groven,Secretary,$0,No Data,No Data
REESEDALE MUTUAL WATER COMPANY,Mutual Water Company,Board of Directors,Donna Hopkins,Vice President,$0,No Data,No Data
ROWLAND WATER DISTRICT,Special District,Board of Directors,Theresa Rios,Director,"$6,415",Elected,No Data
ROWLAND WATER DISTRICT,Special District,Board of Directors,Anthony Lima,Director,"$6,415",Elected,No Data
ROWLAND WATER DISTRICT,Special District,Board of Directors,John Bellah,Director,"$6,415",Elected,No Data
ROWLAND WATER DISTRICT,Special District,Board of Directors,Robert Lewis,Director,"$6,415",Elected,No Data
ROWLAND WATER DISTRICT,Special District,Board of Directors,Szu Pei Lu-Yang,Director,"$6,415",Elected,No Data
RUBIO CANON LAND & WATER ASSOCIATION,Mutual Water Company,Board of Directors,Jay Mohr,Board Director,"$2,600",No Data,8
RUBIO CANON LAND & WATER ASSOCIATION,Mutual Water Company,Board of Directors,John Vrsalovich,Secretary/ Treasurer,"$2,900",No Data,14
RUBIO CANON LAND & WATER ASSOCIATION,Mutual Water Company,Board of Directors,James Graunke,Vice President,"$3,300",No Data,25
